gutenberg.id,title,author,gutenberg.author.id,gutenberg.bookshelf,flesch.value,flesch.grade,level,average.goodreads.rating
9211,"The Sister Years (From ""Twice Told Tales"")","Hawthorne, Nathaniel",28,Children's Literature,66.1536702,8-9,B2,3.62
9220,"The Threefold Destiny (From ""Twice Told Tales"")","Hawthorne, Nathaniel",28,Children's Literature,66.35662216,8-9,B2,3
9206,"The Toll Gatherer's Day (From ""Twice Told Tales"")","Hawthorne, Nathaniel",28,Children's Literature,68.42128194,8-9,B2,3.57
508,Twice-Told Tales,"Hawthorne, Nathaniel",28,Children's Literature,67.41755023,8-9,B2,3.9
3207,Leviathan,"Hobbes, Thomas",1133,Politics/Harvard Classics,69.08789114,8-9,B2,3.91
20580,Napoleon the Little,"Hugo, Victor",85,France/Banned Books from Anne Haight's list,69.43993647,8-9,B2,3.22
20656,Old Christmas From the Sketch Book of Washington Irving,"Irving, Washington",34,Christmas/Children's Picture Books,62.22022171,8-9,B2,5
41,The Legend of Sleepy Hollow,"Irving, Washington",34,Children's Literature/Harvard Classics,64.76729014,8-9,B2,3.74
15955,A Short History of Scotland,"Lang, Andrew",79,Children's History/United Kingdom,62.14509374,8-9,B2,3.17
1961,Books and Bookmen,"Lang, Andrew",79,Bibliomania,63.71228741,8-9,B2,3.29
14080,Custom and Myth,"Lang, Andrew",79,Mythology,62.32775288,8-9,B2,3.19
2018,The Library,"Lang, Andrew",79,Bibliomania,62.76961509,8-9,B2,3.72
3603,Widger's Quotations from the Project Gutenberg Editions of the Works of Guy de Maupassant,"Maupassant, Guy de",306,Project Gutenberg,64.13819637,8-9,B2,5
1497,The Republic,Plato,93,Philosophy,69.1666769,8-9,B2,3.91
1726,Theaetetus,Plato,93,Philosophy,69.03550163,8-9,B2,4.14
17192,The Raven,"Poe, Edgar Allan",481,Bibliomania,65.89945061,8-9,B2,4.05
23350,Cecily Parsley's Nursery Rhymes,"Potter, Beatrix",292,Children's Picture Books,67.21982759,8-9,B2,3.81
2590,Guy Mannering,"Scott, Walter",59,Harvard Classics/Historical Fiction,64.26425641,8-9,B2,3.74
82,Ivanhoe: A Romance,"Scott, Walter",59,Best Books Ever Listings/Historical Fiction,65.97891331,8-9,B2,3.75
1606,Kenilworth,"Scott, Walter",59,Historical Fiction,68.31926683,8-9,B2,3.65
5959,Peveril of the Peak,"Scott, Walter",59,Historical Fiction,64.47975468,8-9,B2,3.59
7853,Quentin Durward,"Scott, Walter",59,Historical Fiction,60.86344081,8-9,B2,3.77
20749,St. Ronan's Well,"Scott, Walter",59,Historical Fiction,64.1953508,8-9,B2,3.7
6407,The Abbot,"Scott, Walter",59,Historical Fiction,65.29019949,8-9,B2,3.65
7005,The Antiquary — Complete,"Scott, Walter",59,Historical Fiction,64.63415292,8-9,B2,4.11
6490,The Betrothed,"Scott, Walter",59,Historical Fiction,62.2643611,8-9,B2,3.76
1460,The Black Dwarf,"Scott, Walter",59,Historical Fiction,68.09132326,8-9,B2,3.48
471,The Bride of Lammermoor,"Scott, Walter",59,Historical Fiction/Opera,64.53745296,8-9,B2,3.59
6406,The Monastery,"Scott, Walter",59,Historical Fiction,63.38048434,8-9,B2,3.47
6428,The Surgeon's Daughter,"Scott, Walter",59,Historical Fiction,62.26534146,8-9,B2,3.67
1377,The Talisman,"Scott, Walter",59,Historical Fiction,64.94858544,8-9,B2,4.12
5722,The Shewing-up of Blanco Posnet,"Shaw, Bernard",467,Banned Books from Anne Haight's list,67.99145447,8-9,B2,3.82
84,"Frankenstein; Or, The Modern Prometheus","Shelley, Mary Wollstonecraft",61,Gothic Fiction/Movie Books/Precursors of Science Fiction/Science Fiction by Women,69.24714586,8-9,B2,4.25
18247,The Last Man,"Shelley, Mary Wollstonecraft",61,Science Fiction by Women/Precursors of Science Fiction,69.92349176,8-9,B2,4.11
1090,The Bickerstaff-Partridge Papers,"Swift, Jonathan",326,Banned Books from Anne Haight's list,67.37094778,8-9,B2,4.27
4738,Three Prayers and Sermons,"Swift, Jonathan",326,Christianity,62.0351912,8-9,B2,3.43
3177,Roughing It,"Twain, Mark",53,Travel,69.63835143,8-9,B2,3.89
16457,All Around the Moon,"Verne, Jules",60,Science Fiction,66.34147293,8-9,B2,5
83,"From the Earth to the Moon; and, Round the Moon","Verne, Jules",60,Science Fiction/Movie Books,66.74468453,8-9,B2,3.82
12901,The Moon-Voyage,"Verne, Jules",60,Science Fiction,65.59152386,8-9,B2,3.47
2445,Letters on England,Voltaire,913,Harvard Classics/United Kingdom,62.64794341,8-9,B2,3.76
1059,The World Set Free,"Wells, H. G. (Herbert George)",30,Science Fiction,63.88635123,8-9,B2,3.51
1322,Leaves of Grass,"Whitman, Walt",600,Banned Books from Anne Haight's list/Best Books Ever Listings/Poetry,61.88939115,8-9,B2,4.12
887,Intentions,"Wilde, Oscar",111,Contemporary Reviews,65.06443814,8-9,B2,4.13
3620,Geological Observations on South America,"Darwin, Charles",485,South America,53.60109295,>= 10 (high school),C1,3.62
2872,The Variation of Animals and Plants under Domestication — Volume 2,"Darwin, Charles",485,Botany/Animals-Domestic,57.6297182,>= 10 (high school),C1,2.67
3069,The Great Boer War,"Doyle, Arthur Conan",69,Boer War,59.54860051,>= 10 (high school),C1,3.5
